Algorithm: Bellman-Ford
Source: 0
Vertex Distance
0 0
1 INF
2 INF
3 INF
4 INF
5 INF
6 INF
7 INF
8 INF
9 INF
10 INF
11 INF
12 INF
13 INF
14 INF
15 INF
16 INF
17 INF
18 INF
19 INF
20 INF
21 INF
22 INF
23 INF
24 INF
25 INF
26 INF
27 INF
28 INF
29 INF
30 INF
31 INF
32 INF
33 INF
34 INF
35 INF
36 INF
37 INF
38 INF
39 INF
40 -1
41 -3
42 INF
43 INF
44 INF
45 INF
46 INF
47 INF
48 INF
49 INF
50 INF
51 INF
52 INF
53 INF
54 INF
55 INF
56 INF
57 INF
58 INF
59 INF
60 INF
61 5
62 INF
63 INF
64 INF
65 22
66 INF
67 INF
68 INF
69 17
70 26
71 INF
72 INF
73 INF
74 INF
75 36
76 18
77 INF
78 33
79 INF
80 42
81 INF
82 28
83 INF
84 54
85 INF
86 INF
87 INF
88 27
89 -7
90 INF
91 18
92 46
93 5
94 22
95 1
96 -6
97 -9
98 -16
99 -17
Negative cycle: none

===METRICS===
Execution time: 0.00242 ms
(Averaged over 5 runs)
