Algorithm: Kruskal's MST
MST edges:
2 14 1
9 18 8
2 33 14
12 75 15
0 73 15
37 74 16
11 37 16
26 37 16
5 69 16
10 37 19
8 19 24
68 84 24
64 94 27
9 50 32
10 20 32
47 96 41
4 9 41
32 71 42
63 88 46
3 22 47
39 79 51
9 38 54
0 11 57
57 93 71
33 68 72
61 91 82
45 62 86
11 25 91
11 34 92
54 56 94
24 99 94
37 57 94
27 83 96
0 6 100
29 63 106
41 98 111
22 69 120
32 80 123
41 73 128
13 72 133
69 90 140
5 9 143
35 56 159
0 28 161
8 93 162
65 68 163
54 68 166
31 48 170
1 43 174
22 65 175
9 64 175
22 99 176
28 54 178
9 71 183
11 45 183
1 2 184
30 38 191
62 79 195
60 74 199
24 48 208
6 27 215
32 67 221
52 94 236
63 90 240
23 36 243
7 74 251
3 86 251
24 96 252
6 97 254
73 95 257
69 87 258
34 81 261
51 52 261
35 66 276
7 59 290
14 72 294
35 55 294
7 85 295
35 89 319
15 83 321
16 94 324
23 49 326
12 53 327
92 95 331
30 82 361
40 70 364
17 74 367
10 23 378
42 90 383
40 44 392
49 53 396
12 21 400
69 70 424
15 91 443
11 58 521
78 89 562
59 77 606
2 76 646
30 46 756
Total MST weight: 19428

Algorithm: Prim's MST
MST edges:
0 73 15
0 11 57
11 37 16
37 74 16
37 26 16
37 10 19
10 20 32
11 25 91
11 34 92
37 57 94
57 93 71
0 6 100
73 41 128
41 98 111
0 28 161
93 8 162
8 19 24
28 54 178
54 56 94
56 35 159
54 68 166
68 84 24
68 33 72
33 2 14
2 14 1
68 65 163
65 22 175
22 3 47
22 69 120
69 5 16
69 90 140
5 9 143
9 18 8
9 50 32
9 4 41
9 38 54
9 64 175
64 94 27
22 99 176
99 24 94
11 45 183
45 62 86
9 71 183
71 32 42
32 80 123
2 1 184
1 43 174
38 30 191
62 79 195
79 39 51
74 60 199
24 48 208
48 31 170
6 27 215
27 83 96
32 67 221
94 52 236
90 63 240
63 88 46
63 29 106
74 7 251
3 86 251
24 96 252
96 47 41
6 97 254
73 95 257
69 87 258
34 81 261
52 51 261
35 66 276
7 59 290
14 72 294
72 13 133
35 55 294
7 85 295
35 89 319
83 15 321
94 16 324
95 92 331
30 82 361
74 17 367
10 23 378
23 36 243
23 49 326
90 42 383
49 53 396
53 12 327
12 75 15
12 21 400
69 70 424
70 40 364
40 44 392
15 91 443
91 61 82
11 58 521
89 78 562
59 77 606
2 76 646
30 46 756
Total MST weight: 19428

===METRICS===
Kruskal Execution time: 0.02612 ms
Prim Execution time: 0.01662 ms
(Averaged over 5 runs)
Status: MATCH
